obtuvo_credito,numero_parcelas,superficie_total_ha,porcentaje_produccion_venta,anios_actividad,edad,participa_toma_decisiones,pertenece_asociacion,usa_maquinaria,usa_semilla_certificada,tiene_certificacion_calidad,tiene_seguro_agropecuario,recibio_asistencia_tecnica,nivel_educacion,sexo,departamento,region_natural,tipo_riego_predominante,principal_destino_produccion,principal_canal_venta,tipo_riego_predominante_str
true,2,2.22,100,32,51,false,false,true,true,false,false,false,Primaria completa,Hombre,LAMBAYEQUE,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
true,1,1.9,100,10,44,false,false,true,false,false,false,true,Secundaria completa,Hombre,LIMA,Costa,Goteo,Venta,Comerciante mayorista,Goteo
true,5,1.48,99.54,35,56,false,false,false,false,false,false,false,Secundaria incompleta,Hombre,LIMA,Sierra,Gravedad,Venta,Comerciante mayorista,Gravedad
true,3,2.48,93.33,20,43,false,false,false,false,false,false,false,Secundaria completa,Hombre,LIMA,Sierra,Gravedad,Venta,Comerciante mayorista,Gravedad
true,1,3.39,99.92,30,69,false,false,true,false,false,false,false,Primaria incompleta,Hombre,LIMA,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
true,11,9.41,92.07,22,40,false,false,false,false,false,false,false,Secundaria completa,Hombre,MOQUEGUA,Sierra,Gravedad,Venta,Comerciante mayorista,Gravedad
false,1,2,0,24,76,false,false,false,false,false,false,false,Primaria incompleta,Hombre,MOQUEGUA,Costa,Gravedad,Autoconsumo,Sin ventas,Gravedad
true,3,1.68,81.71,5,33,false,false,true,false,false,false,false,Superior no universitaria incompleta,Hombre,PASCO,Sierra,Gravedad,Venta,Acopiador,Gravedad
true,9,1.53,0,19,39,false,false,false,false,false,false,false,Secundaria completa,Mujer,PASCO,Sierra,Secano,Otro,Sin ventas,Secano
true,1,21.15,0,48,68,false,false,false,false,false,false,false,Primaria incompleta,Hombre,PASCO,Selva,Secano,Otro,Sin ventas,Secano
true,2,9.5,100,23,43,false,true,true,false,false,false,false,Secundaria incompleta,Hombre,PASCO,Selva,Secano,Venta,Acopiador,Secano
true,1,14,95.23,20,46,false,false,true,false,false,false,false,Primaria incompleta,Hombre,PIURA,Costa,Gravedad,Venta,Acopiador,Gravedad
true,1,2,95.65,25,66,false,false,true,true,false,false,false,Secundaria completa,Hombre,PIURA,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
